CruiseID,Haul,SpecNumber,Area,Stratum,Substratum,Date,Year,Month,EQLatDD,EQLongDD,AvgBtmDep,Sex,MatCode,Length,Length.cm,Weight,Age,EstWtFormFromEtoh,Stage1-3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,POF,old POF,new POF,AtrYlkd,AtrUnYlkd,AtrHyd,Mature,tblMatOocyteStages_MatStage,AdvOocyteStage,OvarySubWt,OvaryWt,Expr4,WedgeWt,PropAtretic,AtreticCount,OocStag4PlusCount,PropStag4,OocStag4Est,OocStag5PlusEst,PropHydrated,HydratedCount,FecStag4Plus,FecStag5Plus,FecStag4,Atresia,FecBatch,AtresiaFec,WtGonForm,tblMatFecundity_MatStage,MaleColor,EQSurTemp,BTavg,BDavg
MS201401,2,1,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,2,2,420,42,932,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,,,145
MS201401,2,2,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,2,2,450,45,998,,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,,,,145
MS201401,2,3,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,1,2,390,39,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
MS201401,2,4,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,2,2,430,43,1232,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,,,,145
MS201401,2,5,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,1,1,340,34,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
MS201401,2,6,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,1,1,340,34,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
MS201401,2,7,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,2,2,410,41,970,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,,,145
MS201401,2,8,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,2,2,430,43,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
MS201401,2,9,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,1,2,410,41,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
MS201401,2,10,Seguam,4,,5/21/2014,2014,5,52.00583333,-171.8761667,145,1,1,350,35,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
